section,agency_name,homepage_url
D,Delaware River Basin Commission (DRBC),See USA.gov
D,Delta Regional Authority (DRA),See USA.gov
D,Denali Commission,See USA.gov
D,Department of Agriculture (USDA),See USA.gov
D,Department of Commerce (DOC),See USA.gov
D,Department of Defense (DOD),See USA.gov
D,Department of Education (ED),See USA.gov
D,Department of Energy (DOE),See USA.gov
D,Department of Energyâs Office of Science,See USA.gov
D,Department of Health and Human Services (HHS),See USA.gov
D,Department of Homeland Security (DHS),See USA.gov
D,Department of Housing and Urban Development (HUD),See USA.gov
D,Department of Justice (DOJ),See USA.gov
D,Department of Labor (DOL),See USA.gov
D,Department of State (DOS),See USA.gov
D,Department of Transportation (DOT),See USA.gov
D,Department of Veterans Affairs (VA),See USA.gov
D,Department of the Interior (DOI),See USA.gov
D,Department of the Treasury,See USA.gov
D,"Director of National Intelligence, Office of (ODNI)",See USA.gov
D,"Disability Employment Policy, Office of (ODEP)",See USA.gov
D,Drug Enforcement Administration (DEA),See USA.gov
E,"Economic Analysis, Bureau of (BEA)",See USA.gov
E,Economic Development Administration (EDA),See USA.gov
E,"Economic Growth, Energy, and the Environment",See USA.gov
E,Economic Research Service (ERS),See USA.gov
E,Education Department (ED),See USA.gov
E,Elder Justice Initiative (EJI),See USA.gov
E,Election Assistance Commission (EAC),See USA.gov
E,"Elementary and Secondary Education, Office of (OESE)",See USA.gov
E,Employee Benefits Security Administration (EBSA),See USA.gov
E,Employment and Training Administration (ETA),See USA.gov
E,Energy Department (DOE),See USA.gov
E,Energy Information Administration (EIA),See USA.gov
E,"Engraving and Printing, Bureau of (BEP)",See USA.gov
E,"Environmental Management, Office of",See USA.gov
E,Environmental Protection Agency (EPA),See USA.gov
E,Equal Employment Opportunity Commission (EEOC),See USA.gov
E,European Command (USEUCOM),See USA.gov
E,Executive Office for Immigration Review (EOIR),See USA.gov
E,Export-Import Bank of the United States (EXIM),See USA.gov
F,Fair Housing and Equal Opportunity (FHEO),See USA.gov
F,Fannie Mae,See USA.gov
F,Farm Credit Administration (FCA),See USA.gov
F,Farm Credit System Insurance Corporation (FCSIC),See USA.gov
F,Farm Service Agency (FSA),See USA.gov
F,FedStats (FCSM),See USA.gov
F,Federal Accounting Standards Advisory Board (FASAB),See USA.gov
F,Federal Aviation Administration (FAA),See USA.gov
F,Federal Bureau of Investigation (FBI),See USA.gov
F,Federal Bureau of Prisons (FBOP),See USA.gov
F,Federal Committee on Statistical Methodology (FCSM),See USA.gov
F,Federal Communications Commission (FCC),See USA.gov
F,Federal Deposit Insurance Corporation (FDIC),See USA.gov
F,Federal Election Commission (FEC),See USA.gov
F,Federal Emergency Management Agency (FEMA),See USA.gov
F,Federal Energy Regulatory Commission (FERC),See USA.gov
F,Federal Financial Institutions Examination Council (FFIEC),See USA.gov
F,Federal Financing Bank (FFB),See USA.gov
F,Federal Geographic Data Committee (FGDC),See USA.gov
F,Federal Highway Administration (FHWA),See USA.gov
F,Federal Housing Administration (FHA),See USA.gov
F,Federal Housing Finance Agency (FHFA),See USA.gov
F,Federal Judicial Center,See USA.gov
F,Federal Labor Relations Authority (FLRA),See USA.gov
F,Federal Laboratory Consortium for Technology Transfer (FLC),See USA.gov
F,Federal Law Enforcement Training Centers (FLETC),See USA.gov
F,Federal Library and Information Network (FEDLINK),See USA.gov
F,Federal Maritime Commission (FMC),See USA.gov
F,Federal Mediation and Conciliation Service (FMCS),See USA.gov
F,Federal Mine Safety and Health Review Commission,See USA.gov
F,Federal Motor Carrier Safety Administration (FMCSA),See USA.gov
F,Federal Protective Service (FPS),See USA.gov
F,Federal Railroad Administration (FRA),See USA.gov
F,Federal Register (OFR),See USA.gov
F,Federal Reserve System,See USA.gov
F,Federal Retirement Thrift Investment Board (FRTIB),See USA.gov
F,Federal Student Aid Information Center,See USA.gov
F,Federal Trade Commission (FTC),See USA.gov
F,Federal Transit Administration (FTA),See USA.gov
F,Federal Voting Assistance Program,See USA.gov
F,Fire Administration (USFA),See USA.gov
F,"Fiscal Service, Bureau of the",See USA.gov
F,Fish and Wildlife Service (FWS),See USA.gov
F,Fleet Forces Command (USFFC),See USA.gov
F,Food Safety and Inspection Service (FSIS),See USA.gov
F,"Food and Agriculture, National Institute of (NIFA)",See USA.gov
F,Food and Drug Administration (FDA),See USA.gov
F,Food and Nutrition Service (FNS),See USA.gov
F,Foreign Agricultural Service (FAS),See USA.gov
F,Foreign Claims Settlement Commission (FCSC),See USA.gov
F,Forest Service,See USA.gov
F,Fossil Energy (FECM),See USA.gov
F,Freddie Mac,See USA.gov
F,Fulbright Program,See USA.gov
G,General Services Administration (GSA),See USA.gov
G,Geological Survey (USGS),See USA.gov
G,Ginnie Mae,See USA.gov
G,"Global Media, Agency for",See USA.gov
G,Government Accountability Office (GAO),See USA.gov
G,"Government Ethics, Office of (OGE)",See USA.gov
G,Government Publishing Office (GPO),See USA.gov
H,Harry S. Truman Scholarship Foundation,See USA.gov
H,Health Resources and Services Administration (HRSA),See USA.gov
H,Health and Human Services Department (HHS),See USA.gov
H,Helsinki Commission,See USA.gov
H,Holocaust Memorial Museum,See USA.gov
H,Homeland Security Department (DHS),See USA.gov
H,Hour and Wage Division (WHD),See USA.gov
H,House Office of Inspector General (OIG),See USA.gov
H,House Office of the Clerk,See USA.gov
H,House of Representatives,See USA.gov
H,Housing Office,See USA.gov
H,"Housing and Urban Development, Department of (HUD)",See USA.gov
H,Human Foods Program (HFP),See USA.gov
I,Immigrant and Employee Rights Section (IER),See USA.gov
I,Immigration and Citizenship Services (USCIS),See USA.gov
I,Immigration and Customs Enforcement (ICE),See USA.gov
I,Indian Affairs (BIA),See USA.gov
I,Indian Arts and Crafts Board (IACB),See USA.gov
I,Indian Health Service (IHS),See USA.gov
I,Indo-Pacific Command (USINDOPACOM),See USA.gov
I,Indoor Air Quality (IAQ),See USA.gov
I,"Industry and Security, Bureau of (BIS)",See USA.gov
I,Inspectors General (CIGIE),See USA.gov
I,Institute of Education Sciences (IES),See USA.gov
I,Institute of Museum and Library Services (IMLS),See USA.gov
I,Inter-American Foundation (IAF),See USA.gov
I,Interagency Alternative Dispute Resolution Working Group,See USA.gov
I,Interagency Committee for the Management of Noxious and Exotic Weeds,See USA.gov
I,Interior Department (DOI),See USA.gov
I,Internal Revenue Service (IRS),See USA.gov
I,International Development Finance Corporation (DFC),See USA.gov
I,"International Labor Affairs, Bureau of (ILAB)",See USA.gov
I,International Trade Administration (ITA),See USA.gov
I,International Trade Commission (USITC),See USA.gov
I,Interpol,See USA.gov
J,James Madison Memorial Fellowship Foundation,See USA.gov
J,Japan-United States Friendship Commission (JUSFC),See USA.gov
J,Job Corps,See USA.gov
J,John F. Kennedy Center for the Performing Arts,See USA.gov
J,Joint Board for the Enrollment of Actuaries,See USA.gov
J,Joint Chiefs of Staff,See USA.gov
J,Joint Congressional Committee on Inaugural Ceremonies (JCCIC),See USA.gov
J,Joint Fire Science Program (JFSP),See USA.gov
J,Joint Forces Staff College (JFSC),See USA.gov
J,"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense (JPEO-CBRND)",See USA.gov
J,Judicial Circuit Courts of Appeal,See USA.gov
J,Judicial Panel on Multidistrict Litigation (JPML),See USA.gov
J,Justice Department (DOJ),See USA.gov
J,"Justice Programs, Office of (OJP)",See USA.gov
J,"Justice Statistics, Bureau of (BJS)",See USA.gov
J,"Juvenile Justice and Delinquency Prevention, Office of (OJJDP)",See USA.gov
K,Kennedy Center,See USA.gov
L,Labor Department (DOL),See USA.gov
L,"Labor Statistics, Bureau of (BLS)",See USA.gov
L,"Land Management, Bureau of (BLM)",See USA.gov
L,Legal Services Corporation,See USA.gov
L,Library of Congress,See USA.gov
M,"Manufactured Housing Programs, Office of (OMHP)",See USA.gov
M,Marine Corps,See USA.gov
M,Marine Mammal Commission,See USA.gov
M,Maritime Administration (MARAD),See USA.gov
M,Marshals Service (USMS),See USA.gov
M,Mediation and Conciliation Service (FMCS),See USA.gov
M,Medicaid (CMS),See USA.gov
M,Medicaid and CHIP Payment and Access Commission (MACPAC),See USA.gov
M,Medicare (CMS),See USA.gov
M,Medicare Payment Advisory Commission (MedPAC),See USA.gov
M,Merit Systems Protection Board (MSPB),See USA.gov
M,Middle East Broadcasting Networks,See USA.gov
M,Migratory Bird Conservation Commission,See USA.gov
M,Military Postal Service Agency (MPSA),See USA.gov
M,Millennium Challenge Corporation (MCC),See USA.gov
M,Mine Safety and Health Administration (MSHA),See USA.gov
M,Minority Business Development Agency (MBDA),See USA.gov
M,"Minority Health, Office of (OMH)",See USA.gov
M,Mint,See USA.gov
M,Missile Defense Agency (MDA),See USA.gov
M,Mississippi River Commission (MRC),See USA.gov
N,NOAA Fisheries,See USA.gov
N,National Aeronautics and Space Administration (NASA),See USA.gov
N,National Agricultural Library (NAL),See USA.gov
N,National Agricultural Statistics Service (NASS),See USA.gov
N,National Archives and Records Administration (NARA),See USA.gov
N,National Cancer Institute (NCI),See USA.gov
N,National Capital Planning Commission (NCPC),See USA.gov
N,National Cemetery Administration (NCA),See USA.gov
N,National Center for Complementary and Integrative Health (NCCIH),See USA.gov
N,National Constitution Center,See USA.gov
N,National Council on Disability (NCD),See USA.gov
N,National Credit Union Administration (NCUA),See USA.gov
N,National Defense University (NDU),See USA.gov
N,National Endowment for the Arts (NEA),See USA.gov
N,National Endowment for the Humanities (NEH),See USA.gov
N,National Flood Insurance Program (NFIP),See USA.gov
N,National Gallery of Art,See USA.gov
N,National Geospatial-Intelligence Agency (NGA),See USA.gov
N,National Guard,See USA.gov
N,National Health Information Center (NHIC),See USA.gov
N,"National Heart, Lung, and Blood Institute (NHLBI)",See USA.gov
N,National Highway Traffic Safety Administration (NHTSA),See USA.gov
N,National Indian Gaming Commission,See USA.gov
N,National Institute for Occupational Safety and Health (NIOSH),See USA.gov
N,National Institute of Allergy and Infectious Diseases (NIAID),See USA.gov
N,"National Institute of Arthritis, Musculoskeletal and Skin Diseases (NIAMS)",See USA.gov
N,National Institute of Corrections (NIC),See USA.gov
N,National Institute of Deafness and Other Communication Disorders (NIDCD),See USA.gov
N,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),See USA.gov
N,National Institute of Food and Agriculture (NIFA),See USA.gov
N,National Institute of Justice (NIJ),See USA.gov
N,National Institute of Mental Health (NIMH),See USA.gov
N,National Institute of Neurological Disorders and Stroke (NINDS),See USA.gov
N,National Institute of Standards and Technology (NIST),See USA.gov
N,National Institutes of Health (NIH),See USA.gov
N,National Interagency Fire Center (NIFC),See USA.gov
N,National Invasive Species Information Center (NISIC),See USA.gov
N,National Labor Relations Board (NLRB),See USA.gov
N,National Laboratories,See USA.gov
N,National Library of Medicine,See USA.gov
N,National Marine Fisheries Service,See USA.gov
N,National Mediation Board (NMB),See USA.gov
N,National Nuclear Security Administration (NNSA),See USA.gov
N,National Ocean Service,See USA.gov
N,National Oceanic and Atmospheric Administration (NOAA),See USA.gov
N,National Park Foundation (NPF),See USA.gov
N,National Park Service (NPS),See USA.gov
N,National Pesticide Information Center (NPIC),See USA.gov
N,National Prevention Information Network (NPIN),See USA.gov
N,National Reconnaissance Office (NRO),See USA.gov
N,National Science Foundation (NSF),See USA.gov
N,National Security Agency (NSA),See USA.gov
N,National Security Council (NSC),See USA.gov
N,National Technical Information Service (NTIS),See USA.gov
N,National Telecommunications and Information Administration (NTIA),See USA.gov
N,National Transportation Safety Board (NTSB),See USA.gov
N,National Weather Service,See USA.gov
N,Natural Resources Conservation Service (NRCS),See USA.gov
N,"Natural Resources Revenue, Office of (ONRR)",See USA.gov
N,Navy,See USA.gov
N,Northern Border Regional Commission,See USA.gov
N,Northern Command (USNORTHCOM),See USA.gov
N,"Nuclear Energy, Office of",See USA.gov
N,Nuclear Regulatory Commission (NRC),See USA.gov
N,Nuclear Waste Technical Review Board (NWTRB),See USA.gov
O,Oak Ridge National Laboratory (ORNL),See USA.gov
O,Occupational Safety and Health Administration (OSHA),See USA.gov
O,Occupational Safety and Health Review Commission (OSHRC),See USA.gov
O,"Ocean Energy Management, Bureau of (BOEM)",See USA.gov
O,"Office for Civil Rights, Department of Education (OCR)",See USA.gov
O,"Office for Civil Rights, Department of Health and Human Services",See USA.gov
O,"Office of Career, Technical, and Adult Education (OCTAE)",See USA.gov
O,Office of Child Support Services (OCSS),See USA.gov
O,Office of Community Planning and Development (CPD),See USA.gov
O,Office of Congressional Workplace Rights (OCWR),See USA.gov
O,Office of Cuba Broadcasting (Radio y TV MartÃ­),See USA.gov
O,Office of Disability Employment Policy (ODEP),See USA.gov
O,Office of Elementary and Secondary Education (OESE),See USA.gov
O,Office of Energy Efficiency and Renewable Energy (EERE),See USA.gov
O,Office of English Language Acquisition,See USA.gov
O,Office of Environmental Management,See USA.gov
O,Office of Fair Housing and Equal Opportunity (FHEO),See USA.gov
O,Office of Fossil Energy and Carbon Management (FECM),See USA.gov
O,Office of Government Ethics (OGE),See USA.gov
O,Office of Housing,See USA.gov
O,Office of Immigrant and Employee Rights (IER),See USA.gov
O,Office of Investor Education and Advocacy (OIEA),See USA.gov
O,Office of Justice Programs (OJP),See USA.gov
O,Office of Juvenile Justice and Delinquency Prevention (OJJDP),See USA.gov
O,Office of Lead Hazard Control and Healthy Homes (OLHCHH),See USA.gov
O,Office of Local Defense Community Cooperation,See USA.gov
O,Office of Management and Budget (OMB),See USA.gov
O,Office of Manufactured Housing Programs (OMHP),See USA.gov
O,Office of Minority Health (OMH),See USA.gov
O,Office of Multifamily Housing Programs (MFH),See USA.gov
O,Office of National Drug Control Policy (ONDCP),See USA.gov
O,Office of Natural Resources Revenue (ONRR),See USA.gov
O,Office of Nuclear Energy,See USA.gov
O,Office of Personnel Management (OPM),See USA.gov
O,Office of Policy Development and Research (PD&R),See USA.gov
O,Office of Postsecondary Education (OPE),See USA.gov
O,Office of Refugee Resettlement (ORR),See USA.gov
O,Office of Science and Technology Policy (OSTP),See USA.gov
O,Office of Scientific and Technical Information (OSTI),See USA.gov
O,Office of Servicemember Affairs,See USA.gov
O,Office of Special Counsel (OSC),See USA.gov
O,Office of Special Education and Rehabilitative Services (OSERS),See USA.gov
O,"Office of Surface Mining, Reclamation and Enforcement (OSMRE)",See USA.gov
O,Office of Textiles and Apparel (OTEXA),See USA.gov
O,Office of Weights and Measures (OWM),See USA.gov
O,Office of the Assistant Secretary for Research and Technology,See USA.gov
O,Office of the Comptroller of the Currency (OCC),See USA.gov
O,Office of the Director of National Intelligence (ODNI),See USA.gov
O,Office of the Federal Register (OFR),See USA.gov
O,Office of the Pardon Attorney,See USA.gov
O,Office on Violence Against Women (OVW),See USA.gov
O,Open World Leadership Center,See USA.gov
P,Pacific Command (USINDOPACOM),See USA.gov
P,"Pardon Attorney, Office of",See USA.gov
P,Parent Information and Resources Center (CPIR),See USA.gov
P,Parole Commission,See USA.gov
P,Patent and Trademark Office (USPTO),See USA.gov
P,Peace Corps,See USA.gov
P,Pension Benefit Guaranty Corporation (PBGC),See USA.gov
P,Pentagon Force Protection Agency (PFPA),See USA.gov
P,Pipeline and Hazardous Materials Safety Administration (PHMSA),See USA.gov
P,Policy Development and Research (PD&R),See USA.gov
P,Postal Inspection Service,See USA.gov
P,Postal Regulatory Commission,See USA.gov
P,Postal Service (USPS),See USA.gov
P,"Postsecondary Education, Office of (OPE)",See USA.gov
P,"President's Council on Fitness, Sports and Nutrition (PCSFN)",See USA.gov
P,Presidential Scholars Commission,See USA.gov
P,Presidio Trust,See USA.gov
P,Pretrial Services Agency for the District of Columbia,See USA.gov
P,Prevention Information Network (NPIN),See USA.gov
P,Privacy and Civil Liberties Oversight Board (PCLOB),See USA.gov
P,Public and Indian Housing (PIH),See USA.gov
R,Radio Free Asia (RFA),See USA.gov
R,Radio Free Europe and Radio Liberty (RFE/RL),See USA.gov
R,Radio Sawa,See USA.gov
R,Radio and TV MartÃ­ (Radio y TV MartÃ­),See USA.gov
R,Railroad Retirement Board (RRB),See USA.gov
R,"Reclamation, Bureau of",See USA.gov
R,"Refugee Resettlement, Office of (ORR)",See USA.gov
R,Rehabilitation Services Administration (RSA),See USA.gov
R,Risk Management Agency (RMA),See USA.gov
R,Rural Business-Cooperative Service,See USA.gov
R,Rural Development,See USA.gov
R,Rural Housing Service,See USA.gov
R,Rural Utilities Service (RUS),See USA.gov
S,"Safety and Environmental Enforcement, Bureau of (BSEE)",See USA.gov
S,Saint Lawrence Seaway Development Corporation (GLS),See USA.gov
S,"Science and Technology Policy, Office of (OSTP)",See USA.gov
S,"Scientific and Technical Information, Office of (OSTI)",See USA.gov
S,Secret Service,See USA.gov
S,Securities and Exchange Commission (SEC),See USA.gov
S,Selective Service System (SSS),See USA.gov
S,Senate,See USA.gov
S,Sentencing Commission,See USA.gov
S,"Servicemember Affairs, Office of",See USA.gov
S,Small Business Administration (SBA),See USA.gov
S,Smithsonian Institution,See USA.gov
S,Social Security Administration (SSA),See USA.gov
S,Social Security Advisory Board (SSAB),See USA.gov
S,Southeastern Power Administration,See USA.gov
S,Southern Command (SOUTHCOM),See USA.gov
S,Southwestern Power Administration,See USA.gov
S,Space Command,See USA.gov
S,"Special Counsel, Office of (OSC)",See USA.gov
S,"Special Education and Rehabilitative Services, Office of (OSERS)",See USA.gov
S,Special Operations Command,See USA.gov
S,State Department (DOS),See USA.gov
S,State Justice Institute (SJI),See USA.gov
S,Stennis Center for Public Service,See USA.gov
S,Strategic Command (USSTRATCOM),See USA.gov
S,Substance Abuse and Mental Health Services Administration (SAMHSA),See USA.gov
S,Supreme Court of the United States,See USA.gov
S,"Surface Mining, Reclamation and Enforcement, Office of (OSMRE)",See USA.gov
S,Surface Transportation Board (STB),See USA.gov
S,Susquehanna River Basin Commission (SRBC),See USA.gov
T,Tax Court,See USA.gov
T,Tennessee Valley Authority,See USA.gov
T,Trade Representative,See USA.gov
T,Trade and Development Agency (USTDA),See USA.gov
T,Transportation Department (DOT),See USA.gov
T,Transportation Security Administration (TSA),See USA.gov
T,"Transportation Statistics, Bureau of (BTS)",See USA.gov
T,Treasury Department,See USA.gov
T,Trustee Program,See USA.gov
U,U.S. AbilityOne Commission,See USA.gov
U,U.S. Access Board,See USA.gov
U,U.S. Africa Command,See USA.gov
U,U.S. Agency for Global Media,See USA.gov
U,U.S. Agency for International Development (USAID),See USA.gov
U,U.S. Air Force,See USA.gov
U,U.S. Air Force Reserve Command,See USA.gov
U,U.S. Arctic Research Commission (USARC),See USA.gov
U,U.S. Army,See USA.gov
U,U.S. Army Corps of Engineers,See USA.gov
U,U.S. Botanic Garden,See USA.gov
U,U.S. Capitol Police,See USA.gov
U,U.S. Capitol Visitor Center,See USA.gov
U,U.S. Census Bureau,See USA.gov
U,U.S. Central Command (CENTCOM),See USA.gov
U,U.S. Chemical Safety Board (CSB),See USA.gov
U,U.S. Citizenship and Immigration Services (USCIS),See USA.gov
U,U.S. Coast Guard (USCG),See USA.gov
U,U.S. Commission of Fine Arts,See USA.gov
U,U.S. Commission on International Religious Freedom (USCIRF),See USA.gov
U,U.S. Commodity Futures Trading Commission (CFTC),See USA.gov
U,U.S. Court of Appeals for Veterans Claims,See USA.gov
U,U.S. Courts of Appeal,See USA.gov
U,U.S. Customs and Border Protection (CBP),See USA.gov
U,U.S. Cyber Command,See USA.gov
U,U.S. Department of Agriculture (USDA),See USA.gov
U,U.S. Department of Commerce (DOC),See USA.gov
U,U.S. Department of Defense (DOD),See USA.gov
U,U.S. Department of Education (ED),See USA.gov
U,U.S. Department of Energy (DOE),See USA.gov
U,U.S. Department of Health and Human Services (HHS),See USA.gov
U,U.S. Department of Homeland Security (DHS),See USA.gov
U,U.S. Department of Housing and Urban Development (HUD),See USA.gov
U,U.S. Department of Justice (DOJ),See USA.gov
U,U.S. Department of Labor (DOL),See USA.gov
U,U.S. Department of State (DOS),See USA.gov
U,U.S. Department of Transportation (DOT),See USA.gov
U,U.S. Department of Veterans Affairs (VA),See USA.gov
U,U.S. Department of the Interior (DOI),See USA.gov
U,U.S. Department of the Treasury,See USA.gov
U,U.S. Election Assistance Commission (EAC),See USA.gov
U,U.S. European Command (USEUCOM),See USA.gov
U,U.S. Fire Administration (USFA),See USA.gov
U,U.S. Fleet Forces Command (USFFC),See USA.gov
U,U.S. Geological Survey (USGS),See USA.gov
U,U.S. House of Representatives,See USA.gov
U,U.S. Immigration and Customs Enforcement (ICE),See USA.gov
U,U.S. Indo-Pacific Command (USINDOPACOM),See USA.gov
U,U.S. International Development Finance Corporation (DFC),See USA.gov
U,U.S. International Trade Commission (USITC),See USA.gov
U,U.S. Marine Corps,See USA.gov
U,U.S. Marshals Service (USMS),See USA.gov
U,"U.S. Military Academy, West Point",See USA.gov
U,U.S. Mint,See USA.gov
U,U.S. Mission to the United Nations (USUN),See USA.gov
U,U.S. National Central Bureau - Interpol,See USA.gov
U,U.S. Navy,See USA.gov
U,U.S. Northern Command (USNORTHCOM),See USA.gov
U,U.S. Nuclear Regulatory Commission (NRC),See USA.gov
U,U.S. Parole Commission,See USA.gov
U,U.S. Patent and Trademark Office (USPTO),See USA.gov
U,U.S. Postal Inspection Service,See USA.gov
U,U.S. Postal Service (USPS),See USA.gov
U,U.S. Senate,See USA.gov
U,U.S. Sentencing Commission,See USA.gov
U,U.S. Southern Command (SOUTHCOM),See USA.gov
U,U.S. Space Command,See USA.gov
U,U.S. Special Operations Command,See USA.gov
U,U.S. Strategic Command (USSTRATCOM),See USA.gov
U,U.S. Trade Representative,See USA.gov
U,U.S. Trade and Development Agency (USTDA),See USA.gov
U,U.S. Transportation Command (USTRANSCOM),See USA.gov
U,U.S. Trustee Program,See USA.gov
U,Udall Foundation,See USA.gov
U,Under Secretary for Political Affairs,See USA.gov
U,Under Secretary for Public Diplomacy and Public Affairs,See USA.gov
U,Unified Combatant Commands,See USA.gov
U,Uniformed Services University of the Health Sciences (USU),See USA.gov
U,United States Institute of Peace (USIP),See USA.gov
V,Veterans Affairs Department (VA),See USA.gov
V,Veterans Benefits Administration (VBA),See USA.gov
V,Veterans Health Administration (VHA),See USA.gov
